Epoch,FirstNodeDeathTime
1,311
2,302
3,301
4,317
5,310
6,296
7,325
8,301
9,302
10,301
11,296
12,301
13,299
14,308
15,292
16,321
17,303
18,299
19,303
20,316
21,301
22,291
23,294
24,295
25,318
26,295
27,304
28,291
29,293
30,298
31,291
32,320
33,294
34,298
35,306
36,307
37,317
38,307
39,303
40,293
41,298
42,293
43,295
44,298
45,317
46,294
47,300
48,313
49,292
50,295
51,324
52,300
53,306
54,305
55,295
56,296
57,305
58,301
59,303
60,310
61,300
62,310
63,298
64,291
65,292
66,314
67,297
68,292
69,306
70,301
71,299
72,293
73,297
74,298
75,318
76,329
77,300
78,293
79,291
80,300
81,302
82,298
83,305
84,305
85,306
86,318
87,305
88,317
89,294
90,306
91,300
92,293
93,299
94,316
95,291
96,311
97,300
98,309
99,334
100,298
101,314
102,295
103,298
104,304
105,293
106,298
107,291
108,321
109,325
110,304
111,298
112,297
113,291
114,304
115,297
116,292
117,295
118,315
119,300
120,311
121,291
122,310
123,299
124,294
125,329
126,296
127,302
128,301
129,300
130,311
131,302
132,321
133,292
134,292
135,294
136,310
137,292
138,330
139,294
140,316
141,301
142,311
143,308
144,316
145,308
146,306
147,301
148,293
149,295
150,322
151,299
152,302
153,306
154,291
155,307
156,295
157,291
158,330
159,308
160,295
161,296
162,296
163,309
164,306
165,310
166,307
167,300
168,307
169,301
170,294
171,303
172,323
173,307
174,301
175,306
176,298
177,291
178,319
179,304
180,310
181,308
182,322
183,314
184,303
185,309
186,297
187,296
188,292
189,306
190,311
191,295
192,303
193,326
194,303
195,294
196,299
197,313
198,295
199,315
200,294
201,297
202,294
203,296
204,306
205,302
206,308
207,330
208,311
209,308
210,296
211,294
212,331
213,294
214,295
215,295
216,292
217,309
218,307
219,316
220,305
221,313
222,328
223,317
224,309
225,296
226,319
227,296
228,296
229,298
230,310
231,294
232,304
233,314
234,303
235,298
236,300
237,300
238,309
239,318
240,303
241,312
242,293
243,325
244,304
245,297
246,295
247,291
248,305
249,306
250,298
251,299
252,325
253,294
254,318
255,303
256,310
257,299
258,315
259,305
260,313
261,316
262,320
263,313
264,296
265,329
266,308
267,301
268,310
269,305
270,297
271,296
272,331
273,297
274,305
275,296
276,319
277,306
278,314
279,324
280,312
281,294
282,299
283,318
284,299
285,312
286,311
287,307
288,304
289,296
290,294
291,308
292,292
293,297
294,315
295,303
296,307
297,297
298,301
299,295
300,291
